ranking,url,title,region,time,director,actor,1 week culmulative income,all culmulative income,duration,type,rating
1,https://www.maoyan.com/films/1200486,我不是药神,中国大陆,2018/7/5,['文牧野'],"['徐峥', '周一围', '王传君', '谭卓', '章宇', '杨新鸣', '王砚辉', '贾晨飞', '王佳佳', '李乃文', '龚蓓苾', '苇青', '邓飞', '刘頔', '宁浩', '岳小军', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑', '张子贤', '任洛敏', '杜子蓝', '刘兴雷', '杜家毅', '宁晓志', '马千壹', '石强', '甘昀宸', '何李宁', '陈翃', '肖龙', 'Chenfei Jia']",123812,310002,117,"['剧情', '喜剧']",9.6
2,https://www.maoyan.com/films/1297,肖申克的救赎,美国,1994/9/13,['弗兰克·德拉邦特'],"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉·桑德勒', '克兰西·布朗', '吉尔·贝罗斯', '马克·罗斯顿', '詹姆斯·惠特莫尔', '杰弗里·德曼', '拉里·布兰登伯格', '尼尔·吉恩托利', '布赖恩·利比', '大卫·普罗瓦尔', '乔·劳格诺', '朱迪·斯克勒拉', '保罗·麦克兰尼', '芮妮·布莱恩', '斯科特·曼', '约翰·霍顿', '戈登·格林', '阿方索·弗里曼', 'V·J·福斯特', '约翰·萨默斯', '弗兰克·梅德拉诺', '马克·迈尔斯', '阿兰·凯斯勒', '摩根·伦德', '康奈尔·华莱士', '加里·李·戴维斯', '尼尔·萨默斯', '耐德·巴拉米', '乔·佩科拉罗', '小哈罗德·科普', '布赖恩·戴拉特', '唐·麦克马纳斯', '唐纳德·津恩', '多萝西·希尔沃', '罗伯特·海利', '达纳·斯奈德', 'John D. Craig', '肯·马吉', 'Eugene C. DePasquale', '比尔 柏兰德', '罗恩·纽厄尔', '约翰·伍德沃德', '查克·布劳彻勒', '迪翁·安德森', '克莱尔·史莱姆', 'James Kisicki', '詹姆斯·巴伯森', '罗恩·托马斯', '查理·卡恩斯', 'Rob Reider', '布莱恩·布罗菲', '保罗·肯尼迪', 'Brad Spencer', '丹尼斯·贝克', '弗雷德·克柏森', '丽塔·海华斯', '理查德·杜恩', 'Michael Lightsey', '加里·琼斯', '阿隆佐·F·琼斯', '克里斯·佩吉', '塞尔吉奥·加藤', '约瑟夫·劳格诺', '威廉姆·赛德勒', '杰弗瑞·德穆恩', '保罗·迈克格莱恩', 'Robert Haley', 'Paul Kennedy', 'Neil Riddaway', 'Shane Grove', '加里·琼斯', 'David Hecht', 'Jodiviah Stepp', 'Mark A. Strain']",,,142,"['剧情', '犯罪']",9.5
3,https://www.maoyan.com/films/1206605,绿皮书,美国,2019/3/1,['彼得·法雷里'],"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '唐·斯达克', '乔恩·索特兰', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', 'Tom Virtue', '沙恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·海耶斯·库瑞', 'Tonya Maldonado', '加文·莱尔·弗雷', '奎恩·达菲', '哈里森·斯通', '比利·布里德', '莱斯利·卡斯泰', '克雷格·迪弗朗西亚', '托尼·查普曼·斯蒂尔', '伊桑·艾哈特', '詹姆斯·W·埃弗莫尔', 'Frank Vallelonga', 'Jim Klock', '丹尼尔', 'Joseph Cortese', 'Johnny Williams', 'Montrel Miller', '瑞奇·缪斯', '胡安·贾斯帕', 'Suehyla El-Attar', '尼克·维勒欧嘉', 'Dimiter Marinov', '辛西亚·勒布朗', '埃尔顿·勒布朗', 'Jeffrey Klemmer', 'Brett Beoubay', '史蒂夫·基什', 'John Frederick', 'David Simpson', 'Ron Flagge', 'Ted Huckabee', 'Sam Malone', 'David Kallaway', 'Brian Distance', 'Von Lewis', 'Don DiPetta', 'Sharon Landry', 'Peter Gabb', 'Ninja N. Devoe']",11502,47872,130,"['剧情', '喜剧', '传记']",9.5
4,https://www.maoyan.com/films/1292,海上钢琴师,意大利,2019/11/15,['朱塞佩·托纳多雷'],"['蒂姆·罗斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '普路特·泰勒·文斯', '梅兰尼·蒂埃里', '加布里埃莱·拉维亚', '皮特·沃恩', '尼尔·奥布赖恩', '阿尔贝托·巴斯克斯', '尼古拉·迪·平托', 'Julien Lovett', '安吉洛·迪洛雷塔', 'Pierluigi Coppola', '阿妮妲·扎格利亚', 'Paul Richard Wood', '希思科特·威廉姆斯', 'Adriano Wajskol', 'Beniamino Vitale', 'Ivan Truol Troncoso', 'Michael Supnick', '布莱恩·普林格', 'Riccardo Pellegrino', 'Stefano Pagin', 'Bernard Padden', 'Noriko Aida', '路易斯·莫尔特尼', 'Adrian McCourt', 'Masa Mbatha Opasha', 'Michael Koroukin', 'Emanuele Gullotto', 'Piero Gimondo', 'Eamon Geoghegan', '伊斯顿·盖奇', 'Andrew Dunford', 'Harry Ditson', 'Agostino Di Giorgio', 'Katy Monique Cuom', '西德尼·科尔', 'Norman Chancer', '科里·巴克', 'John Armstead', 'Vernon Nurse', '费米·依鲁福祖', 'Leonid Zaslavski', 'Luigi De Luca', 'Femi Elufowojo', 'Nigel Fan', '凯文·麦克纳利', 'Roger Monk', '曲敬国', '沙拉·鲁宾', '吉达·布塔', '斯蒂法诺·佩格尼', '安杰洛·迪·洛蕾塔', 'Gianluigi Molteni']",6351,14376,126,"['剧情', '爱情', '音乐']",9.3
5,https://www.maoyan.com/films/1211270,哪吒之魔童降世,中国大陆,2019/7/26,['饺子'],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫', '李南', '任俊鹏', '何禹祥', '杏林儿', '雨辰', '刘霖竺', '大海', '陶渊', '大卫·陈', '贾米森·普赖斯', '斯蒂芬妮·社', 'Mike Pollock', '文森特·罗德里格兹三世', 'Adam Sietz', '梅森·任']",66507,503570,110,"['动画', '喜剧', '奇幻']",9.6
6,https://www.maoyan.com/films/1203,霸王别姬,中国大陆,1993/7/26,['陈凯歌'],"['张国荣', '张丰毅', '巩俐', '吕齐', '英达', '葛优', '雷汉', '童弟', '尹治', '马明威', '赵海龙', '费振翔', '李丹', '杨永超', '黄斐', '蒋雯丽', '智一桐', '李春', '吴大维', '黄磊', '宋小川', '张进战', '关之琳', '毛舜筠', '吴君如', '黄百鸣', '吴孟达', '卢敏仪', '黄光亮', '许晴', '岳华', '沈慧芬', '冯远征', '杨立新', '徐杰', '方征', '周璞', '隋永清', '吕奇']",,5,171,"['剧情', '爱情']",9.4
7,https://www.maoyan.com/films/1216365,小偷家族,日本,2018/8/3,['是枝裕和'],"['中川雅也', '安藤樱', '松冈茉优', '池松壮亮', '城桧吏', '绪形直人', '森口瑶子', '山田裕贵', '片山萌美', '柄本明', '高良健吾', '池胁千鹤', '树木希林', '佐佐木美结', '郑凯誉', '足立智充', '莳田彩珠', '瑛莲', '每熊克哉', '沟口奈菜', '友咲圆', '清水一彰', '堀春菜', '松浦慎一郎', '森本のぶ', 'Shinsuke Kasai', 'Hideki Nakano', '伊藤克信', 'Yoshimi Tachi', '黑田大辅', '松冈依都美', '井上肇', '安藤轮子', '桥本真实', '五头岳夫']",4840,9675,121,"['剧情', '犯罪']",8.1
8,https://www.maoyan.com/films/1303,美丽人生,意大利,2020/1/3,['罗伯托·贝尼尼'],"['罗伯托·贝尼尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克', '霍斯特·布赫霍尔茨', '利迪娅·阿方西', '朱利亚娜·洛约迪切', '亚美利哥·丰塔尼', '拉法埃拉·莱博罗尼', '克劳迪奥·阿方西', '于尔根·博恩', '维蕾娜·布拉蒂', '罗伯特·卡梅罗', '恩尼奥·孔萨尔维', '吉安卡尔洛·科森蒂诺', '亚伦克·雷格', 'Alfiero Falomi', 'Daniela Fedtke', 'Antonio Fommei', 'Stefano Frangipani', 'Ernst Frowein Holger', 'Alessandra Grassi', 'Hannes Helmann', 'Wolfgang Hillinger', 'Margareta Lucia Krauss', 'Patrizia Lazzarini', 'Maria Letizia', 'Concetta Lombardo', 'Maria Rita Macellari', 'Carlotta Mangione', 'Francesca Messinese', 'Inger Lise Middelthon', 'Andrea Nardi', 'Günther Pfanzelter', 'Cristiana Porchiella', '吉娜·诺维勒', 'Laura Rudeberg', 'Massimo Salvianti', 'James Schindler', 'Andrea Tidona', '迪尔克·范登贝格', 'Giovanna Villa', ""Roberto Dell'Acqua"", 'Katia Crispino', '奥梅罗·安东努蒂', '尼可莱塔·布拉斯基', '沈晓谦', '乔治·坎塔里尼', '张欣', '玛丽萨·帕雷德斯', '汉尼斯·赫尔曼', '彼得·德·席尔瓦', '弗朗西斯·古佐', '吉尔·巴罗尼', '马西莫·比安奇', '阿伦·克雷格', '弗兰科·梅斯科利尼', '安东尼奥·普雷斯特', '理查德·塞梅尔', '李靖飞', 'Laura Susanne Ruedeberg', 'James Falzone', 'Daniela Fedke']",2380,5979,116,"['战争', '剧情', '爱情']",9.3
9,https://www.maoyan.com/films/4055,这个杀手不太冷,法国,1994/9/14,['吕克·贝松'],"['让·雷诺', '加里·奥德曼', '娜塔莉·波特曼', '丹尼·爱罗', '彼得·阿佩尔', 'Willi One Blood', '唐·克里奇', 'Keith A. Glascoe', '伦道夫·斯科特', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '卢修斯·怀亚特·切罗基', '埃里克·查利', '吕克·伯纳德', '麦温·勒·贝斯柯', 'Jessie Keosian', '乔治·马丁', '阿卜杜勒·哈桑·谢里夫', '斯图亚特·鲁丁', '肯特·布劳德赫斯特', 'Tommy Hollis', '彼得·吉安卢卡利纳瑞', '强尼·里默', '丹尼·贝利', '赛斯杰罗姆·沃克', '迈克尔·蒙德拉', 'Alex Dezen', 'Betty Miller', 'Geoffrey Bateman', 'Arsène Jiroyan', 'Peter Vizard', '约瑟夫·玛勒巴', '大卫·w·巴特勒', '罗伯特·拉萨多', 'Steve Gonnelo', 'William James Stiggers Jr', 'Anthony Ragland', '水晶·米歇尔·布莱克', '桑尼·齐托', '洛基·埃尔南德斯', '兰迪·珀尔斯坦', 'Trevor Walace', '基思·布洛克', '弗雷德·菲舍尔', 'Peter Justinius', 'Denis Bellocq', 'Thomas Delehanty', 'Ed Ventresca', 'Wallace Wong', 'Cary Wong', 'Amimul Rolly', 'Mohammed Rashid', '亚当·布斯奇', '马里奥·托迪斯科', 'James Melissinos', '杰纳德.布鲁克斯', 'Matt De Matt', '萨米·纳塞利', '克里斯托夫·戈蒂埃', 'Junior Almeida', '大卫·格雷格', 'Michel Montanary', '埃尔韦·胡森', 'Didier Legros', '马克·安德烈奥尼', '吉尔·克莱伯', 'Junior John Levis', 'Tony Sauraye', 'Thierry Maurio', '让·雨果·安格拉德', 'James Fahrner', 'Michael Wehrhahn', 'Daniel Schenmetzler', 'Alyssia Dujmovich', '麦温', '沈晓谦', '大塚明夫', '埃莱娜·卡多纳', 'Jeff McBride']",,,110,"['剧情', '动作', '犯罪']",9.4
10,https://www.maoyan.com/films/46818,怦然心动,美国,2010/7/26,['罗伯·莱纳'],"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '艾丹•奎因', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼', '佩内洛普·安·米勒', '凯文·韦斯曼', '摩根·莉莉', '瑞安·克茨纳', '吉莉安·普法夫', '迈克尔·博萨', '博·勒纳', '杰奎琳·埃沃拉', '泰勒·格鲁秀斯', '艾莉·布莱恩特', '阿什莉·泰勒', '伊瑟尔·布罗萨德', '科迪·霍恩', 'Frankie Potochick', 'Quintin Hicks', 'Wallace Bridges', 'Inga R. Wilson', 'Jake Reiner', '迈克尔·博尔顿', '肖恩·哈珀', 'Linda Auwers', 'Ruth Crawford', '斯戴芬妮·斯考特', 'Joseph Varsanik', 'Tyler Martin Moylan', 'Tristan DeRoches', '帕特丽夏·伦茨', 'Spencer Rohatynski', 'Chase Gall', '马修·戈尔德', '阿罗拉·凯瑟琳·史密斯', '凯莉·唐纳利', '索菲亚·撒高', '米歇尔·梅斯默', '卡拉 帕西托', '凯特琳·帕西托', '斯科特·乔尔·吉兹基', '阿拉米斯·奈特', '罗德·迈尔斯', 'Hahn Cho', 'Julia Hershey', 'Sydney Lumbert', 'Clarinda Ross', '约翰·玛哈尼', 'Michael Christopher Bolten']",,,90,['爱情'],8.9
